,sentences,labels
0,"['Як вам такий стілець Brevi Slex?\nцікавить ваша думка, хочу придбати стільчик для годування, дитині вже рік і місяць, вага 13 кг....переважно всі стільчики йдуть до 3-х років, а хочеться на довше.'
 'які є найцікавіші іграшки для дитини від року бажано розвиваючі\nфото'
 'спортлайф (спортлайфік)\nам подарували дитячий абонемент. Віддам дитячий абонемент в спортлайфік.На 1 рік фітнесу для дитини.Але на карточці написано-при придбанні дорослого .Актувати до 30.06.2015 р.'
 ...
 'У дит магазині БАРТЕК  20% знижки на взуття . до 1 числа\nДівчата. сьогодні купила взуття бартек ( босоніжки з 20% скидкою.   акція діє до 1 червня  подивилась у нас на сайт  -   таких цін  тут не має....     якісне ортопедичне шкіряне  взуття для малечі -  супер.'
 'Ви б купили такі ботінки?\nфото'
 'Оцініть туфельки для моєї школярки)\nЯкість дуже добра, вчора міряли в магазині ф.1,акуратні, на рівні з Екко і Суперфіт але моя доця каже , що вони не дівчачі... Допоможіть мені її переконати, чи може це я не права... Може краще вибрати щось з наступних фото?']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Одежда, обувь, аксессуары > Обувь'
 'Одежда, обувь, аксессуары > Обувь' 'Одежда, обувь, аксессуары > Обувь']"
1,"['Які подарунки від Миколая найбільше порадували Ваших дітей?\nДілимося враженнями і досвідом. Меншій був набір косметики (сама замовляла) - наче все ок, але особливо не радіє. Старшому вертоліт на автокеруванні. У результаті обоє граються  вертольотом і ледь не б""ються за нього. Ще купили білу магнітно-маркерну дошку, приурочили до свята, наче як теж подарунок від Миколая. Ще від його імені їм листа на цій дошці написали. Дошка немала (100 на 75). Але бачу, треба було 2 брати. Штовхаються тепер біля неї постійно, не знаю, наскільки інтересу вистачить... але поки що не відірвати.А що у Ваших діток викликало захоплення?'
 'Інструкція з організації охорони життя і здоров’я дітей у  дошкільних навчальних\nДевочки,  может быть кто-нибудь в курсе, раньше была инструкция для ДОУ: МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ НАКАЗ  28.10.2008  м. Київ № 985Про затвердження  Інструкції з організації охорони життя і здоров’я дітей у дошкільних навчальних закладах.Никак не могу найти действительна она или нет. Может быть кто-то знает, на сайте Министерства образования не находится.'
 '12 років навчання. Хто за?\nПішли чутки, що новоспечений міністр освіти планує ввести 12-річне навчання. Особисто я проти. Моя пропозиція-  10 років у школі, але починати з 7 років. Шо скажете ?'
 ...
 'допоможіть розібратись  що таке сумарні антитіла\nАндрій Біохімія -норма до 40 у нас -Аспартатаминотрансфераза (АСТ, AST)-21ІмунохіміяR R < 1.0 - результат отрицательныйR ≥ 1.0 - результат положительный , у нас -Вирус гепатита B (HBV), HBsAg(австралийский антиген) -0.501Био/Імунохімія Индекс Менее 1.0 – отрицательный результатБолее или равно 1.0 – положительныйрезультат, у нас -Вирус гепатита B (HBV), HBeAg 0.066МЕ/л < 10.0 - отрицательный результат=> 10.0 - положительный результатВирус гепатита B (HBV), HBsAg,антитела суммарные, у нас 5005Индекс > 1.0 - отрицательный результат≤ 1.0 - положительный результатВирус гепатита B (HBV), HBcorAg,антитела суммарные ,у нас 0.005ПЦР. Вирус гепатита B (кровь,качествен. определение, Real-time)PCR HBV qualitative не обнаружен'
 'Підвищений рівень АМГ (антимюлерів гормон)?\nСьогодні отримала результати аналізів, в т.ч. на гормон АМГ (антимюлерів гормон), лабораторія Діла.  Значення 3.34 нг/мл, норма загалом 1-2.5 нг/мл.  Загалом виходить підвищений рівень, але в результатах написано ""референтні значення'
 'Болить зуб у донечки 4 рочки чим допомогти.\nБули у лікаря поклали тимчасову пломбу щоб удалити нерв бо великий карєс був. Пройшла 1.5 тижні, сьогодні вечером поїла і почала жалітьсь на біль в зубчику, чим можна обезболіти дати нурофен']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Здоровье и Красота  > Болезни и лекарства'
 'Здоровье и Красота  > Болезни и лекарства'
 'Здоровье и Красота  > Болезни и лекарства']"
2,"['Хто продає коробки для новорічних подарунків діткам!!?\nХто продає коробки для новорічних подарунків діткам!!? Дуже потрібно 35 шт приблизно на вагу 250-400 г'
 'Відпустили б пілітка 16 р в бар-клуб на рок концерт?Ввечері початок 21 год.\nНіколи  майже так не ходить,а тут зненацька рок...Чоловік проти,я ткож.Сидить дується,і огризається ,що вже дорослий.Ще й на ніч ,нпонятна компанія .Відпустили б?'
 'Дитячий садок 200 (Київ)\nДорогі мами, чиї дітки ходять в ДНЗ №200 ""Зірниця"", напишіть, будь ласка, про садочок: як вихователі, як завідуюча, харчування і т.д. Моїй дитині прийшло запрошення в цей садочок в молодшу групу, хочеться мати хоч якусь інформацію про нього. Наперед дякую за відповіді.'
 ...
 'Харків, порадьте лікаря з видалення вен\nДівчата, хто видаляв вени у Харкові, у кого і де ви це робили?Яка приблизно ціна, та як ви зараз почуваєтесь? Чи бувають у вас судоми в ногах, чи інші ускладнення?Дякую всім!'
 'Порадьте, будь ласка, офтальмологічний центр на правому березі Києва\nРіже кутики очей, зволожуючі краплі не допомагають. А також болять очні яблука. Треба поміряти очний тиск, перевірити зір і проконсультуватися щодо скарг.'
 'Ужгород, Мукачево, Львів треба Імплант поставить \nЯ впо , поэтому докторов плохо знаю.Нужно установить 2 импланта . Порекомендуйте пожалуйста,  к кому обратиться. Буду очень благодарна.']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Здоровье и Красота > Врачи'
 'Здоровье и Красота > Врачи' 'Здоровье и Красота > Врачи']"
3,"['Емігранти, що читають ваші діти?\nфото'
 'ХВАСТ - моє багацтво\nподарували нам нещодавно гарного товстенького пухнастого хом*ячка, а за тиждень він перетворився на купу хом*ячків... сюрприз був шокуючим - але місяць з тогоч часу минув і моє багацтво вже готове до переїзду в різні сім*їа фото 4 - це 3 тижні назад :)'
 'Це нормальна реакція на укуси чогось на вулиці?\nДавала каплі феністил. мазала псилобальзамом. До лікаря треба? Ще щось страшне?'
 ...
 'Хочеться оновлення. Чи фарбувати моє волосся?\nЙде весна, є бажання змін. У волосся природній колір. Бачила варіанти балаяжу, шатуш. Тільки все зазвичай на хвилястому волоссі подається, а в мене пряме. Чи варто ризикнути і пофарбувати? Напишіть, ви ща чи проти. Особливо цікаві думки тих, хто фарбує, або фарбував.'
 'Звідки взялися ці зморшки ((\nМені 31. Дивлюся сьогодні на себе, а зморшки під очима жах( аж до щік доходять. два дні недосипу могли таке створити? Ну їх реально не було. Нанесла тональник, прийшла додому в була в шоці. На тональнику ще більше видно. Порадьте будь ласка щось. З чого почати? Яку лінійку обирати для догляду? В мене зараз досить бюджетний догляд. Готова вже нормально так вкластися, головне щоб допомогло. Страх бере'
 'Як підготувати стопи і п´яти до літа?\nЗробити шкіру красивою. Може, крем якийсь порадьте, будь ласка. Чи домашні процедури.Бо скоро босоніжки треба діставати.']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Здоровье и Красота > Рецепты красоты'
 'Здоровье и Красота > Рецепты красоты'
 'Здоровье и Красота > Рецепты красоты']"
4,"['Потрібно скласти слова з буквой Є після приголосного?\nДевочки нужна помощ какие  есть слова з буквой Є після приголосного українська мова  Синє,ллє какие есть ище слова?'
 'Допоможіть з хімією 7 клас\nДопоможіть, будь ласка. Буду дуже благодарна)'
 'Зарубіжна література ""Іліада"" \nДівчата, допоможіть, будь ласка, відповісти на 1,2, 4 питання. Твір ´Іліада´. Дуже дякую!'
 ...
 'Пальто зимове Україна...\nяк вам таке пальто-можна брати? ціна спокуслива)'
 'Мамочки, порадьте розмір зимових ботінок Columbia?\nПорадьте будь-ласка який розмір взяти на зиму, зарас носимо сандалики 20 роз- довжина встілки - 12,5 см, який розмір купляти чобіток, дитині 1 рік.    Всім наперед дякую.'
 'Зимовий комбінезон Columbia відгуки\nХочу придбати для сина на наступну зиму комбінезон роздільний Columbia,хто носив,поділіться досвідом чи варто???Де замовляти???І як у них з розмірною сіткою.']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ...
 'Одежда, обувь, аксессуары > Зимний гардероб'
 'Одежда, обувь, аксессуары > Зимний гардероб'
 'Одежда, обувь, аксессуары > Зимний гардероб']"
5,"['Завдання 2 клас допоможіть. Фото\nВітається?5 завдання - джмільДзвінДзеркалоДжунгліБджола???'
 'Я досліджую світ 3 клас - де знайти відповіді?\nВесь інтернет перешукала((('
 'Мами діток 4 рочки зайдіть\nДуже дивує поведінка доньки 3.8. Вона постійно бавиться, що вона меленька. Говорить мама юцьки, тютю, бібі,кека, амам. проситься на руки, не хоче сама їсти. Буває, лізе до грудей і робить вигляд, що пє молоко. Постійно повторює, що вона маленька. Починаю хвилюватися....'
 ...
 'Хто викупляє з HsM\nПотрібен такий плащик , сьогодні міряли та нам замаленький , не знаю як знайти , хто зможе знайти і викупити?'
 'ціна на памперси\nЯка зараз ціна на памперси Ектів бейбі 4 -ка ? ( цікавить ціна за штуку). Є залишки, хочу продати.'
 'Багато оголошень віддам, а я би взяла для хлопчика 6 років,маю потребу.\nМоже комусь лишні в шафі речі ,займають місце,але речі такі що можна вдягти в садок чи до школи.Купую все в Хумані,тому можу виручити мамочок,в кого хлопчики повиростали )) Київ.']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Семья, Дом, Дети > Детские товары'
 'Семья, Дом, Дети > Детские товары' 'Семья, Дом, Дети > Детские товары']"
6,"['А ві участвуете в группе в вайбере в школе?\nКапец, какие все лицемеры-за спиной все обсуждают родкомитет, а а в группе в вайбере-пишут, ой да, надо сдавать'
 'Що подарувати хлопчику на рік?\nБюджет орієнтовно 2 тис грн. Дякую'
 'Довідка в садок\nХто брав довідку в садок 095/0, то її всім нормально дають, чи є якісь нюанси?'
 ...
 'Дівчата, порадьте аромат на весну) Чим ви користуєтесь весною?\nХочеться чогось легкого, можливо свіжого… Набридли важкі солодкі парфуми, Поділіться приємними для вас ароматами на весну. Дякую'
 'Як і де продати багато парфумів\nМаю багато флаконів, оригінали, переїжджаю за кордон'
 'Патчі під очі. Просвітіть. \nЧи користуєтеся? Чи не дурна трата грошей? Маю мішки під очима та деколи стомлений вигляд, можливо порадите щось?']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Здоровье и Красота > Косметика'
 'Здоровье и Красота > Косметика' 'Здоровье и Красота > Косметика']"
7,"['який зріст у ваших діток віком 1-1.2р?\nу нас малому 1.1р, зріс 78см, вага 10.8кг,ножка 12.5см. чоловік переживає,що він на фоні діток його віку виглядає маленьким, і старший наш малий в такому віці був більший. просто цікаво чи нормально у нас все на наш вік. педіатру нашому завжди все добре, він ніколи ні в чому проблем не бачить.дякую усім)'
 'Дитина ість тричі на день + перекуси, але ввечері хоче ще\nЩо можна давати за півгодини - годину до сну? Дитині рік, груди може вночі попросити один раз і все , хоче істи нормальну їжу, але не м’ясо ж давати на ніч'
 'Букет або цукерки? Класному керівнику на 8 березня середня школа\nбюджет обмежений, не вистачає на букет+цукерки, треба вибрати щось одне обговорювали в вайбері з батьками класу, не дійшли спільної згоди. тюльпани у нас по 22-25 за шт +25грн упаковкатроянди від 40-55-70 за шт, прозора упаковка безкоштовнаЯка Ваша думка?подарунковий сертифікат на 500грн обов""язково'
 ...
 'Кредит за програмою ""Доступне житло"" . Хто що чув?  Можна вірити? \nМоя знайома загорілась кредитом на жило з допомогою держави. Всі дрібниці не знаю. Тільки 25% перший й внесок, а\xa0 потім чи на 15 чи на 30 років. Хто що чув ?\xa0 Чи це не ЛО.......трон?\xa0'
 'Зніму квартиру у Львові на 3 дні\nЗніму квартиру у Львові на 3 дні(7-9.09)Хочу погуляти містом. цікавлять варіанти недалеко від центру не більше 150 грн \\сутки... дякую наперед за допомогу!!'
 'Чи переходить користування більшою кімнатою новим співвласникам спільного частков\nДопоможіть будь ласка.Двокімнатна квартира була у спільній частковій власності між братом і сестрою.Домовлялися довго.Вірішили продавати.Коли прийшла повістка в суд,про право користування.Сестрі присудили користуватися більшою (значно) кімнатою і балконом.Долги за тепломережу за 4 роки виросли до 12 тисяч.стало відомо ,що вона продала свою частку під виглядом договором даровизни не погасивши борги.Рахунки всы були на неъ.В квартиры ныхто не жив.Нові власники не показують договір та розпоряджаються квартирою на власний розсуд.дДоводячи до відома ,що тепер борги всі мої та вони користуються великою кімнатою та балконом.В судовому рішені було сказано,що сестрі \xa0та її дітям буде виділено більша кімната та балкон,мені менша.Чи розповсюджується ця судова постанова на новіх впівласників?Всі меблі в квартирі врни скинули в мою маленьку кімнату,проживати там з дітьми та дружиною не можливо.зіпсували замок.Своїх \xa0дітей сестра виписала без опікунської ради.Я там не приписаний.Підскажіть як я маю перешкодити цієї несправедливості та діям.Чи є це законим.Чи переходить користувааня надане судом іншому співласнику після даровизни частки?Що робити????????Обходив вже 6 адвокатів,ніхто чіткої відповіді не надає .Тільки на вас надія ,допоможіть!!!']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Бизнес, Финансы > Недвижимость'
 'Бизнес, Финансы > Недвижимость' 'Бизнес, Финансы > Недвижимость']"
8,"['Медичні вузи України. \nМожливо у когось є студенти-медики. Як відбувається зараз навчання? Які вузи потрібно розглядати? Бо є і у Львові, і в Ужгороді. Ми з Києва, але наскільки знаю, Богомольця з купою проблем зараз. Да і рівень навчання там останніми роками опустився. Дочка в 11 класі. Дякую за відповіді.'
 'Донька рве мені волосся, коли засинає?!?\nПросто кошмар, тільки беру дитину на руки і починає видирати волосся, що робити??? Можливо в когось таке було?  І в ночі теж постійно хоче тримати волосся в ✋. Вже скоро лиса буду'
 'Я транжира чи це у всіх так?\nСтало питання одігати діток на весну-літо. Син 4 роки та доця 1 рік. Передивилась, шо у нас є на сезони. Але так почала дещо замовляти, бо є речі, які вже маловаті або не в не надто гарному стані. шукаю нові речі і б/у в гарному стані.Сапожечки на весну - 80 грн, кросівки малому високі - 150 грн, піджачок та джинси - 210 грн, шорти та поло набором - 190 грн, костюм спортивний - 155 грн, костюм літній 135 грн, шорти та теніска святкова 180 грн, футболка - 75 грн., регланчик - 135 грн, шорти для дому 3 шт. - 70 грн. ккуртка-кофта спортивна - 90 грн.а ще точно потрібно кросівки доці(за сандалики мовчу ще обом), а це у нас ще є курточки і джинсики. От і думаю, можливо, багато речей зайвих? беру дещо на виріст, на холодну погоду, на свято, бо будуть ДН. Що ви купуєте дітям і в якому обсязі? бо хочу, щоб ходили чисті, без плямок, потерстостей... Але чи не забагато??? Це на весну та літо.Це я транжира чи воно реально все потрібне?'
 ... 'Скажене весілля 3. Де подивитись? \nТреба на українській мові'
 'Порадьте серіал\nВ стилі детектив, про запутані вбивства. Від себе рекомендую Каштановий чоловічок, Майер із Істтауна, Зло'
 'Дівчина з тату дракона - як вам?\nНіколи не бачила. Читаю відгуки, що не дуже приємне.']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Досуг, Развлечения > Кино'
 'Досуг, Развлечения > Кино' 'Досуг, Развлечения > Кино']"
9,"['Начальная школа ""Лісові дзвіночки""\nНа Лесном мас., ул. Волкова.Ищу отзывы. Чьи детки посещают данную школу-сад? Как Вам?'
 '  Поділити на склади. Однією  та моєї. Туплю.\nЄю  (єї) может переноситься или нет?   Спасибо всем грамотным :)'
 'Допомога на дітей одиноким матерям (документи)\nПереоформлюю допомогу через 6 міс. після нарахування.  Підскажіть, будь ласка, хто знає. Які потрібні документи для отримання довідки про проживання дитини з матір´ю,  виданої за місцем проживання  сім´ї? Паспорт + свідоцтво про народження дитини і все? Домова книга не потрібна? І чи може таку довідку видати ЖЕК або голова ОСББ чи вона видається лише в райраді? Довідку про склад сім""ї голова ОСББ видає 100%. Дякую.'
 ...
 'Косметолог з мед освітою Черкаси - Київ \nПорадьте, будь ласка, кометолога хорошого з медичною освітою чи косметолога-дерматолога, який робить ін‘єкції в Києві чи Черкасах. Кому довіряєте? Бо вже мала неприємний досвід…'
 'Тільки 26, а чоло в жахливому стані і міжбрівʼя\nТо вже треба думати над інʼєкціями? Брови також треба робити то я знаю..'
 'Ботокс вбиває волосся чи відновлює? Хочу зробити\nЦікавить ваш досвід.']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Здоровье и Красота > Рецепты красоты'
 'Здоровье и Красота > Рецепты красоты'
 'Здоровье и Красота > Рецепты красоты']"
