,sentences,labels
0,"['Батьки дітей з особливими потребами, заповніть, будь ласка. анкету!'
 '#Хто не привчав дитину ходити на горшок?'
 'Дитячі школи розитку для діток в Хмельницькому' ...
 'Чи може бути взуття із запасом впритик по устілці?'
 'Гарні босоніжки на проблемну ногу'
 'Покажіть ваше літнє взуття на кожен день']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Одежда, обувь, аксессуары > Обувь'
 'Одежда, обувь, аксессуары > Обувь' 'Одежда, обувь, аксессуары > Обувь']"
1,"['Порадьте для 2 класу таблички множення як швидше вивчити'
 'Неспокійна дитина' 'А що таблицю Менделєєва вчать влітку наперед?!' ...
 'Оздоровчо-профілактичні тампони Beautiful Life' 'Застій жовчі????'
 'Дівчатка які бачуть гадають поможіть.']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Здоровье и Красота  > Болезни и лекарства'
 'Здоровье и Красота  > Болезни и лекарства'
 'Здоровье и Красота  > Болезни и лекарства']"
2,"['Що за вірус такий!!!!!!?????'
 'підскажіть красиву книгу англ мова для дошкільнят'
 'Ведення ""Історії розвитку дитини. Форма 112/о""' ...
 'УЗД в державній поліклініці має бути безкоштовним?'
 'Київ потрібен Стоматолог який вміє під мікроскопом переліковувати канали'
 'чек ап здоров´я для жінок']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Здоровье и Красота > Врачи'
 'Здоровье и Красота > Врачи' 'Здоровье и Красота > Врачи']"
3,"['не дішит нос' 'Цікаве ім´я для дівчинки'
 'Доньці 9 років. В шафі і на столі - ""бардак""' ...
 'Це наколоті губи чи свої?' 'В Єві хороші акції.'
 'Натуральний колір волосся з рижиною']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Здоровье и Красота > Рецепты красоты'
 'Здоровье и Красота > Рецепты красоты'
 'Здоровье и Красота > Рецепты красоты']"
4,"['Тече річка і цвітуть каіти - тут пряме значення? Чи переносне?'
 'Імена для двійнят, як Вам?' 'Допоможіть з математикою' ...
 'Якої фірми купити жіночу піжаму з довгим рукавом?'
 'Віддам брюки жіночі .фірмові 52-54'
 'Полтава! Де купуєте шуби, дубленки?']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ...
 'Одежда, обувь, аксессуары > Зимний гардероб'
 'Одежда, обувь, аксессуары > Зимний гардероб'
 'Одежда, обувь, аксессуары > Зимний гардероб']"
5,"['Чи має право школа вимагати таку інформацію?'
 'Дівчата, на спині в дитини прищі' 'Дитина постійно простить груди' ...
 'Вам хотілось колись зникнути в прямому сенсі? Як собі допомогти в такій ситуації'
 'Що ви поміняли у своєму житті після 35 років?'
 'Як позитивно мислити? як плануєте радість, щоб знаходити ресурси жити?']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Здоровье и Красота > Психология'
 'Здоровье и Красота > Психология' 'Здоровье и Красота > Психология']"
6,"['Дитина 4 місяці почала активно смоктати великий палець? Забороняти?'
 'Вже бачили? У Києві запрацював колл-центр для батьків (дитячі самогубства)'
 'Як зробити цю задачу третім способом? 2 клас' ... 'Як вам ці парфуми?'
 'Як креми Vichy?' 'Порадьте доглядову косметику для мами, вікова шкіра']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Здоровье и Красота > Косметика'
 'Здоровье и Красота > Косметика' 'Здоровье и Красота > Косметика']"
7,"['Мамочкі що подарувати на Миколая діткам в садочку?'
 'Мами донечок 2рочки підскажіть за садочок.' 'Не хоче ходити і садок' ...
 'Оплата вторинної  нерухомості' 'Покупка нерухомості в Києві'
 'Проблема з документами! Право власності']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Бизнес, Финансы > Недвижимость'
 'Бизнес, Финансы > Недвижимость' 'Бизнес, Финансы > Недвижимость']"
8,"['Для хто вважає, що в Росію потрібно тікати...'
 'Воші у хлопчика 2,9. - шампунь чи стригти?'
 'А що це за прикол з першим прикормом - вводити все і відразу а потім виключати'
 ... 'Порадьте якийсь інтересний серіал'
 'Допоможіііііііііть! Терміново потрібно знайти не існуюче))))))'
 'Венздей серіал']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Досуг, Развлечения > Кино'
 'Досуг, Развлечения > Кино' 'Досуг, Развлечения > Кино']"
9,"['Вихователь б’є по попі в бере за вухо'
 'Ваші діти до року сплять чи спали всю ніч?'
 'Питання до багатодітних, де є студенти' ...
 'натуральна вітчизняна косметика'
 'хто робив на обличчя нитки Аптос в Україні, і задоволений? у кого робили?'
 'Перший раз записалась на лазерну епі']","['Семья, Дом, Дети > Дети' 'Семья, Дом, Дети > Дети'
 'Семья, Дом, Дети > Дети' ... 'Здоровье и Красота > Рецепты красоты'
 'Здоровье и Красота > Рецепты красоты'
 'Здоровье и Красота > Рецепты красоты']"
